Atharva Mandar Phatak ,BE21B009,Discord ID: atharvamandarphatak
,,
respondent_id,h1n1_predicted,seasonal_predicted
26707,0.23,0.35
26708,0.09,0.07
26709,0.39,0.71
26710,0.61,0.86
26711,0.44,0.56
26712,0.7,0.82
26713,0.41,0.59
26714,0.32,0.22
26715,0.03,0.14
26716,0.22,0.81
26717,0.09,0.43
26718,0.34,0.67
26719,0.23,0.76
26720,0.05,0.38
26721,0.46,0.49
26722,0.09,0.23
26723,0.71,0.77
26724,0.09,0.69
26725,0.09,0.15
26726,0.07,0.27
26727,0.52,0.72
26728,0.37,0.47
26729,0.32,0.45
26730,0.1,0.26
26731,0.06,0.34
26732,0.19,0.21
26733,0.86,0.91
26734,0.61,0.43
26735,0.13,0.32
26736,0.14,0.27
26737,0.17,0.21
26738,0.6,0.76
26739,0.2,0.24
26740,0.27,0.27
26741,0.21,0.72
26742,0.18,0.28
26743,0.15,0.42
26744,0.11,0.59
26745,0.21,0.72
26746,0.21,0.34
26747,0.06,0.22
26748,0.1,0.19
26749,0.13,0.56
26750,0.41,0.83
26751,0.62,0.74
26752,0.07,0.21
26753,0.29,0.55
26754,0.33,0.52
26755,0.18,0.47
26756,0.1,0.08
26757,0.21,0.48
26758,0.46,0.78
26759,0.06,0.17
26760,0.14,0.21
26761,0.36,0.68
26762,0.3,0.71
26763,0.82,0.88
26764,0.75,0.84
26765,0.21,0.58
26766,0.26,0.22
26767,0.63,0.78
26768,0.1,0.44
26769,0.08,0.39
26770,0.07,0.46
26771,0.08,0.26
26772,0.13,0.48
26773,0.22,0.32
26774,0.12,0.38
26775,0.04,0.5
26776,0.42,0.43
26777,0.13,0.65
26778,0.18,0.15
26779,0.31,0.66
26780,0.15,0.72
26781,0.16,0.39
26782,0.16,0.31
26783,0.06,0.32
26784,0.25,0.78
26785,0.49,0.68
26786,0.16,0.28
26787,0.08,0.58
26788,0.1,0.74
26789,0.12,0.27
26790,0.05,0.28
26791,0.07,0.13
26792,0.17,0.59
26793,0.26,0.87
26794,0.43,0.8
26795,0.25,0.78
26796,0.14,0.18
26797,0.26,0.62
26798,0.51,0.43
26799,0.33,0.32
26800,0.2,0.88
26801,0.27,0.4
26802,0.19,0.25
26803,0.09,0.26
26804,0.07,0.2
26805,0.11,0.15
26806,0.01,0.84
26807,0.48,0.75
26808,0.07,0.32
26809,0.5,0.3
26810,0.07,0.15
26811,0.1,0.22
26812,0.24,0.69
26813,0.46,0.55
26814,0.03,0.67
26815,0.02,0.06
26816,0.13,0.22
26817,0.06,0.58
26818,0.2,0.26
26819,0.22,0.36
26820,0.15,0.29
26821,0.07,0.5
26822,0.19,0.58
26823,0.27,0.48
